submission_date,us_cases
2020-03-05,164
2020-03-06,210
2020-03-07,274
2020-03-08,421
2020-03-09,642
2020-03-10,937
2020-03-11,1214
2020-03-12,1625
2020-03-13,1896
2020-03-14,2240
2020-03-15,3470
2020-03-16,4219
2020-03-17,7001
2020-03-18,10407
2020-03-19,15179
2020-03-20,18720
2020-03-21,24540
2020-03-22,33404
2020-03-23,44237
2020-03-24,54347
2020-03-25,68308
2020-03-26,85228
2020-03-27,103321
2020-03-28,122653
2020-03-29,140764
2020-03-30,163348
2020-03-31,186015
2020-04-01,212871
2020-04-02,239043
2020-04-03,274143
2020-04-04,304826
2020-04-05,330606
2020-04-06,374329
2020-04-07,395926
2020-04-08,427235
2020-04-09,459165
2020-04-10,492416
2020-04-11,525704
2020-04-12,554849
2020-04-13,579005
2020-04-14,605390
2020-04-15,632548
2020-04-16,661712
2020-04-17,690714
2020-04-18,720630
2020-04-19,746625
2020-04-20,776093
2020-04-21,802583
2020-04-22,828441
2020-04-23,865585
2020-04-24,895458
2020-04-25,928619
2020-04-26,957875
2020-04-27,981246
2020-04-28,1005147
2020-04-29,1030659
2020-04-30,1062446
2020-05-01,1092815
2020-05-02,1122609
2020-05-03,1152372
2020-05-04,1171510
2020-05-05,1193813
2020-05-06,1217179
2020-05-07,1248040
2020-05-08,1274036
2020-05-09,1300696
2020-05-10,1324488
2020-05-11,1342594
2020-05-12,1364061
2020-05-13,1384930
2020-05-14,1412121
2020-05-15,1435098
2020-05-16,1467065
2020-05-17,1480349
2020-05-18,1504830
2020-05-19,1528235
2020-05-20,1551096
2020-05-21,1571618
2020-05-22,1595886
2020-05-23,1622115
2020-05-24,1637457
2020-05-25,1662415
2020-05-26,1678844
2020-05-27,1698524
2020-05-28,1719828
2020-05-29,1737951
2020-05-30,1761504
2020-05-31,1787681
2020-06-01,1802471
2020-06-02,1827426
2020-06-03,1842102
2020-06-04,1862658
2020-06-05,1891692
2020-06-06,1920906
2020-06-07,1938816
2020-06-08,1956423
2020-06-09,1973799
2020-06-10,1994285
2020-06-11,2016029
2020-06-12,2038346
2020-06-13,2063816
2020-06-14,2085774
2020-06-15,2104351
2020-06-16,2132743
2020-06-17,2155577
2020-06-18,2183407
2020-06-19,2215628
2020-06-20,2248039
2020-06-21,2275655
2020-06-22,2302313
2020-06-23,2336632
2020-06-24,2374302
2020-06-25,2414905
2020-06-26,2459521
2020-06-27,2504225
2020-06-28,2545300
2020-06-29,2581286
2020-06-30,2624940
2020-07-01,2679315
2020-07-02,2732056
2020-07-03,2789777
2020-07-04,2842011
2020-07-05,2886373
2020-07-06,2932719
2020-07-07,2983044
2020-07-08,3047829
2020-07-09,3107109
2020-07-10,3173415
2020-07-11,3236338
2020-07-12,3296808
2020-07-13,3355685
2020-07-14,3416691
2020-07-15,3484129
2020-07-16,3556205
2020-07-17,3630946
2020-07-18,3698525
2020-07-19,3761726
2020-07-20,3819526
2020-07-21,3882602
2020-07-22,3952759
2020-07-23,4025031
2020-07-24,4099892
2020-07-25,4164491
2020-07-26,4226310
2020-07-27,4280818
2020-07-28,4340736
2020-07-29,4406734
2020-07-30,4474843
2020-07-31,4543512
2020-08-01,4602482
2020-08-02,4650079
2020-08-03,4699870
2020-08-04,4749923
2020-08-05,4803666
2020-08-06,4859572
2020-08-07,4921651
2020-08-08,4976274
2020-08-09,5025138
2020-08-10,5065546
2020-08-11,5121166
2020-08-12,5177615
2020-08-13,5230629
2020-08-14,5287222
2020-08-15,5342034
2020-08-16,5384081
2020-08-17,5422934
2020-08-18,5462325
2020-08-19,5508890
2020-08-20,5553832
2020-08-21,5600653
2020-08-22,5645970
2020-08-23,5684667
2020-08-24,5717849
2020-08-25,5755036
2020-08-26,5801527
2020-08-27,5848443
2020-08-28,5893163
2020-08-29,5936593
2020-08-30,5975026
2020-08-31,6007214
2020-09-01,6050561
2020-09-02,6090359
2020-09-03,6135090
2020-09-04,6184566
2020-09-05,6229996
2020-09-06,6264346
2020-09-07,6290513
2020-09-08,6313931
2020-09-09,6346902
2020-09-10,6384438
2020-09-11,6430561
2020-09-12,6471008
2020-09-13,6506581
2020-09-14,6541360
2020-09-15,6575769
2020-09-16,6617432
2020-09-17,6661464
2020-09-18,6710370
2020-09-19,6752941
2020-09-20,6790360
2020-09-21,6829705
2020-09-22,6879134
2020-09-23,6920593
2020-09-24,6963081
2020-09-25,7009216
2020-09-26,7059087
2020-09-27,7095422
2020-09-28,7129313
2020-09-29,7168077
2020-09-30,7213419
2020-10-01,7260465
2020-10-02,7310625
2020-10-03,7359952
2020-10-04,7396730
2020-10-05,7436278
2020-10-06,7475262
2020-10-07,7528313
2020-10-08,7583200
2020-10-09,7641502
2020-10-10,7694865
2020-10-11,7740934
2020-10-12,7787548
2020-10-13,7835007
2020-10-14,7894768
2020-10-15,7958254
2020-10-16,8028332
2020-10-17,8081489
2020-10-18,8128524
2020-10-19,8188585
2020-10-20,8249011
2020-10-21,8312667
2020-10-22,8387047
2020-10-23,8469976
2020-10-24,8553827
2020-10-25,8617022
2020-10-26,8680611
2020-10-27,8752794
2020-10-28,8834393
2020-10-29,8924548
2020-10-30,9024298
2020-10-31,9113129
2020-11-01,9182628
2020-11-02,9268818
2020-11-03,9357245
2020-11-04,9463782
2020-11-05,9581770
2020-11-06,9714600
2020-11-07,9808411
2020-11-08,9913553
2020-11-09,10036463
2020-11-10,10170846
2020-11-11,10314254
2020-11-12,10508864
2020-11-13,10689535
2020-11-14,10846373
2020-11-15,10984398
2020-11-16,11136253
